IF,Shapre Fac,CF,RMS,Kur,Skew,Var,SD,Mean,Range,TARGET
0.911232513,1.00185086,0.909549065,20.660532,-0.370387367,-0.633995924,1.575731235,1.255281337,-20.62236289,5.18966909,2UL
0.910736419,1.0018771,0.909030079,20.66877608,-0.397062207,-0.625073049,1.599283562,1.264627836,-20.6300514,5.21630348,2UL
0.911775364,1.001846678,0.910094712,20.6516923,-0.375242331,-0.637133887,1.570835579,1.253329797,-20.61362557,5.12429379,2UL
0.912454282,1.001831949,0.910785768,20.67767244,-0.376978515,-0.631019975,1.56226453,1.249905808,-20.63986126,5.16626312,2UL
0.91161667,1.001859409,0.909924747,20.67062883,-0.38624392,-0.624183149,1.584537085,1.258783971,-20.632265,5.20984665,2UL
0.911845238,1.00186133,0.910151146,20.66992093,-0.407179272,-0.619043496,1.586060678,1.25938901,-20.63151886,5.20823245,2UL
0.912078316,1.001876136,0.910370337,20.67115016,-0.393318889,-0.629660737,1.598832029,1.264449299,-20.63244088,5.18401937,2UL
0.910650862,1.001854782,0.90896493,20.66049019,-0.368249001,-0.629683807,1.579054832,1.256604485,-20.62224042,5.1953188,2UL
0.911321778,1.001867571,0.909622993,20.67926059,-0.385998838,-0.624425523,1.592801811,1.262062523,-20.6407126,5.18966909,2UL
0.91298638,1.00187203,0.911280436,20.67796188,-0.381808007,-0.632408426,1.596393631,1.263484717,-20.63932445,5.16868443,2UL
0.912323432,1.001844859,0.910643423,20.65786085,-0.379858769,-0.635993515,1.570229956,1.253088168,-20.61982019,5.17836965,2UL
0.911538901,1.001873662,0.909834179,20.65938014,-0.379514153,-0.618625676,1.594911708,1.262898138,-20.62074383,5.21630347,2UL
0.912619265,1.00184718,0.910936601,20.66716052,-0.371396968,-0.640699269,1.573616536,1.254438733,-20.62905493,5.14769976,2UL
0.91463127,1.001882784,0.912912453,20.67193918,-0.381823908,-0.623770983,1.60460342,1.266729418,-20.63309153,5.13640033,2UL
0.913025793,1.001860771,0.911330017,20.66709495,-0.363333589,-0.63176517,1.585151727,1.259028088,-20.62870965,5.13962873,2UL
0.913624796,1.001834322,0.911951983,20.67335529,-0.361202228,-0.638413373,1.563629716,1.250451805,-20.63550312,5.13559322,2UL
0.913225174,1.001858321,0.911531256,20.67404293,-0.389717345,-0.632494756,1.584135173,1.258624318,-20.63569519,5.13882163,2UL
0.913248413,1.001878054,0.911536498,20.66861144,-0.394065665,-0.617151996,1.60006867,1.264938208,-20.62986743,5.23890235,2UL
0.911788318,1.001849599,0.910104989,20.64879865,-0.385889666,-0.627629893,1.572872323,1.254142067,-20.61067717,5.15092816,2UL
0.912631024,1.00185375,0.910942364,20.6696878,-0.376183791,-0.627575742,1.579584108,1.256815065,-20.63144225,5.19531881,2UL
0.912010406,1.001866429,0.910311374,20.67071582,-0.402167566,-0.62685296,1.590515522,1.261156422,-20.63220727,5.18401937,2UL
0.912639405,1.001872642,0.910933552,20.65748351,-0.402803738,-0.617288631,1.593753119,1.262439353,-20.61887174,5.10734464,2UL
0.914058763,1.001869472,0.912353144,20.66603451,-0.388038957,-0.627411711,1.592380347,1.261895537,-20.62747202,5.13236481,2UL
0.912666907,1.001856772,0.910975433,20.66627954,-0.363832721,-0.627590164,1.581630324,1.25762885,-20.62797808,5.17594835,2UL
0.911318867,1.001865115,0.909622317,20.66507926,-0.375966849,-0.632121297,1.588532094,1.260369824,-20.62660827,5.20661824,2UL
0.914439817,1.001862381,0.912739947,20.67849892,-0.375631351,-0.629409512,1.588271326,1.260266371,-20.64005926,5.11541566,2UL
0.911851992,1.001855823,0.91016289,20.68295572,-0.401587128,-0.619468659,1.58337645,1.258322872,-20.64464291,5.1614205,2UL
0.914448281,1.001863832,0.912747074,20.67568468,-0.393504264,-0.627030714,1.589072083,1.260584024,-20.63722037,5.12267958,2UL
0.910291012,1.001884172,0.908579093,20.68258856,-0.392862318,-0.613074368,1.607437656,1.267847647,-20.6436923,5.20177563,2UL
0.913322349,1.001868556,0.911618938,20.68622007,-0.403928122,-0.625117397,1.59471288,1.262819417,-20.64763879,5.09927361,2UL
0.912587753,1.001866667,0.91088743,20.67625073,-0.350900464,-0.648447288,1.591569643,1.261574272,-20.63772697,5.15012107,2UL
0.913077439,1.001871444,0.911371858,20.67411644,-0.397442916,-0.621507205,1.595301811,1.263052576,-20.63549827,5.1606134,2UL
0.912858641,1.001866155,0.911158278,20.67276195,-0.390945726,-0.617193638,1.590597303,1.261188845,-20.63425524,5.12671509,2UL
0.913423017,1.00182958,0.911754888,20.6707425,-0.407859776,-0.617558709,1.559203855,1.248680846,-20.6329928,5.07667474,2UL
0.914653945,1.001837972,0.912975921,20.65724159,-0.370589373,-0.645045762,1.564290982,1.250716188,-20.61934381,5.06779661,2UL
0.913429503,1.001812577,0.911776837,20.67201531,-0.337385692,-0.656223282,1.544943637,1.242957617,-20.63461348,5.10330912,2UL
0.911942763,1.001871697,0.910239072,20.67501784,-0.386653913,-0.6249289,1.595655959,1.263192764,-20.63639277,5.2267958,2UL
0.910704738,1.001854143,0.909019287,20.67523664,-0.384018515,-0.626174623,1.580766194,1.257285248,-20.63697274,5.1928975,2UL
0.909368022,1.001847537,0.90769103,20.67437009,-0.367434338,-0.629020084,1.575017639,1.254997067,-20.63624387,5.18886199,2UL
0.911131848,1.001855572,0.909444308,20.66468676,-0.34809037,-0.635124746,1.580367087,1.25712652,-20.62641297,5.25504439,2UL
0.910047395,1.001851715,0.908365361,20.66790754,-0.365711204,-0.624434009,1.577582837,1.256018645,-20.6297072,5.23728814,2UL
0.913329787,1.001842939,0.911649671,20.6695869,-0.363092475,-0.64287942,1.5703822,1.253148914,-20.63156418,5.16464892,2UL
0.91078191,1.001868755,0.909083056,20.67556197,-0.4081469,-0.609761568,1.593239274,1.262235824,-20.63699648,5.259887,2UL
0.909946704,1.00182104,0.908292667,20.66511872,-0.351743308,-0.64560068,1.551101951,1.245432436,-20.62755511,5.16707021,2UL
0.912514124,1.001850628,0.91082852,20.65986563,-0.402025323,-0.614206036,1.575432406,1.255162303,-20.62170253,5.14689266,2UL
0.910126384,1.001888142,0.908411174,20.66153435,-0.38445792,-0.614025123,1.60753766,1.267887085,-20.62259596,5.23405973,2UL
0.914313869,1.001855122,0.912620846,20.66793187,-0.385802611,-0.636375432,1.58048095,1.257171806,-20.62966134,5.1275222,2UL
0.911955964,1.001886429,0.910238863,20.6599488,-0.385308407,-0.625283925,1.605836984,1.267216234,-20.62104865,5.17756255,2UL
0.910162408,1.001845052,0.908486203,20.67048882,-0.372887806,-0.634470211,1.572314991,1.25391985,-20.63242092,5.1937046,2UL
0.91212254,1.001860532,0.910428659,20.66450692,-0.386788248,-0.619642547,1.584551904,1.258789857,-20.62613135,5.15012107,2UL
0.909826465,1.001867115,0.90813088,20.66257903,-0.393875389,-0.611908312,1.589846554,1.260891175,-20.62407151,5.23890234,2UL
0.912466287,1.001870122,0.910763049,20.66844023,-0.382690931,-0.615212526,1.593302852,1.262261008,-20.62985988,5.16707022,2UL
0.910651093,1.001871491,0.908950001,20.66615723,-0.395463428,-0.613928325,1.594114255,1.262582376,-20.62755295,5.23244552,2UL
0.913210525,1.00186606,0.911509594,20.65682511,-0.389175235,-0.620108849,1.588065381,1.260184662,-20.61835004,5.14850686,2UL
0.914274968,1.001867169,0.912571043,20.65933111,-0.388026587,-0.626729344,1.589392416,1.260711076,-20.62082853,5.11138015,2UL
0.912251739,1.001879655,0.910540237,20.67438427,-0.395262976,-0.625104695,1.602323688,1.265829249,-20.63559646,5.20419693,2UL
0.914135011,1.0018388,0.912457185,20.66898532,-0.371654801,-0.63606721,1.566773348,1.251708172,-20.63104895,5.16142051,2UL
0.911491991,1.001860447,0.909799358,20.66992919,-0.373418445,-0.623486345,1.585311137,1.259091393,-20.6315453,5.1638418,2UL
0.912625945,1.001861354,0.910930381,20.65489737,-0.36177479,-0.634647964,1.583776053,1.258481646,-20.61652273,5.18079096,2UL
0.911639745,1.001849212,0.909957041,20.65836464,-0.396798365,-0.630640634,1.574002026,1.254592375,-20.62023346,5.16787732,2UL
0.91194549,1.001863714,0.910249046,20.65971767,-0.388811536,-0.630740811,1.586518619,1.259570807,-20.62128549,5.19693301,2UL
0.911812701,1.001860793,0.910119158,20.66089251,-0.385135739,-0.619650388,1.584219487,1.258657812,-20.62251827,5.18401937,2UL
